Year,State,Month,Number of Fires,Date Reported
2010,Acre,November,39,1/01/2010
2011,Acre,November,74,1/01/2011
2012,Acre,November,13,1/01/2012
2013,Acre,November,79,1/01/2013
2014,Acre,November,56,1/01/2014
2015,Acre,November,115,1/01/2015
2016,Acre,November,46,1/01/2016
2017,Acre,November,98,1/01/2017
1998,Acre,December,7,1/01/1998
1999,Acre,December,0,1/01/1999
2000,Acre,December,0,1/01/2000
2001,Acre,December,0,1/01/2001
2002,Acre,December,1,1/01/2002
2003,Acre,December,1,1/01/2003
2004,Acre,December,7,1/01/2004
2005,Acre,December,2,1/01/2005
2006,Acre,December,0,1/01/2006
2007,Acre,December,0,1/01/2007
2008,Acre,December,0,1/01/2008
2009,Acre,December,1,1/01/2009
2010,Acre,December,0,1/01/2010
2011,Acre,December,4,1/01/2011
2012,Acre,December,1,1/01/2012
2013,Acre,December,3,1/01/2013
2014,Acre,December,6,1/01/2014
2015,Acre,December,8,1/01/2015
2016,Acre,December,6,1/01/2016
1998,Alagoas,January,0,1/01/1998
1999,Alagoas,January,58,1/01/1999
2000,Alagoas,January,11,1/01/2000
2001,Alagoas,January,5,1/01/2001
2002,Alagoas,January,12,1/01/2002
2003,Alagoas,January,150,1/01/2003
2004,Alagoas,January,9,1/01/2004
2005,Alagoas,January,83,1/01/2005
2006,Alagoas,January,29,1/01/2006
2007,Alagoas,January,33,1/01/2007
2008,Alagoas,January,55,1/01/2008
2009,Alagoas,January,104,1/01/2009
2010,Alagoas,January,23,1/01/2010
2011,Alagoas,January,41,1/01/2011
2012,Alagoas,January,36,1/01/2012
2013,Alagoas,January,49,1/01/2013
2014,Alagoas,January,54,1/01/2014
2015,Alagoas,January,81,1/01/2015
2016,Alagoas,January,24,1/01/2016
2017,Alagoas,January,38,1/01/2017
2017,Alagoas,January,38,1/01/2017
1998,Alagoas,February,0,1/01/1998
1999,Alagoas,February,20,1/01/1999
2000,Alagoas,February,16,1/01/2000
2001,Alagoas,February,4,1/01/2001
2002,Alagoas,February,15,1/01/2002
2003,Alagoas,February,33,1/01/2003
2004,Alagoas,February,7,1/01/2004
2005,Alagoas,February,31,1/01/2005
2006,Alagoas,February,14,1/01/2006
2007,Alagoas,February,28,1/01/2007
2008,Alagoas,February,74,1/01/2008
2009,Alagoas,February,32,1/01/2009
2010,Alagoas,February,26,1/01/2010
2011,Alagoas,February,33,1/01/2011
2012,Alagoas,February,41,1/01/2012
2013,Alagoas,February,19,1/01/2013
2014,Alagoas,February,29,1/01/2014
2015,Alagoas,February,46,1/01/2015
2016,Alagoas,February,14,1/01/2016
2017,Alagoas,February,21,1/01/2017
1998,Alagoas,March,0,1/01/1998
1999,Alagoas,March,52,1/01/1999
2000,Alagoas,March,32,1/01/2000
2001,Alagoas,March,0,1/01/2001
2002,Alagoas,March,27,1/01/2002
2003,Alagoas,March,15,1/01/2003
2004,Alagoas,March,16,1/01/2004
2005,Alagoas,March,35,1/01/2005
2006,Alagoas,March,37,1/01/2006
2007,Alagoas,March,7,1/01/2007
2008,Alagoas,March,31,1/01/2008
2009,Alagoas,March,31,1/01/2009
2010,Alagoas,March,70,1/01/2010
2011,Alagoas,March,34,1/01/2011
2012,Alagoas,March,44,1/01/2012
2013,Alagoas,March,31,1/01/2013
2014,Alagoas,March,28,1/01/2014
2015,Alagoas,March,32,1/01/2015
2016,Alagoas,March,9,1/01/2016
2017,Alagoas,March,23,1/01/2017
1998,Alagoas,April,0,1/01/1998
1999,Alagoas,April,4,1/01/1999
2000,Alagoas,April,20,1/01/2000
2001,Alagoas,April,0,1/01/2001
2002,Alagoas,April,6,1/01/2002
2003,Alagoas,April,20,1/01/2003
2004,Alagoas,April,6,1/01/2004
2005,Alagoas,April,1,1/01/2005
2006,Alagoas,April,2,1/01/2006
2007,Alagoas,April,1,1/01/2007
2008,Alagoas,April,18,1/01/2008
2009,Alagoas,April,5,1/01/2009
2010,Alagoas,April,3,1/01/2010
2011,Alagoas,April,17,1/01/2011
2012,Alagoas,April,18,1/01/2012
2013,Alagoas,April,25,1/01/2013
2014,Alagoas,April,16,1/01/2014
2015,Alagoas,April,63,1/01/2015
2016,Alagoas,April,13,1/01/2016
2017,Alagoas,April,7,1/01/2017
1998,Alagoas,May,0,1/01/1998
1999,Alagoas,May,1,1/01/1999
2000,Alagoas,May,1,1/01/2000
2001,Alagoas,May,2,1/01/2001
2002,Alagoas,May,1,1/01/2002
2003,Alagoas,May,1,1/01/2003
2004,Alagoas,May,3,1/01/2004
2005,Alagoas,May,0,1/01/2005
2006,Alagoas,May,0,1/01/2006
2007,Alagoas,May,0,1/01/2007
2008,Alagoas,May,0,1/01/2008
2009,Alagoas,May,0,1/01/2009
2010,Alagoas,May,0,1/01/2010
2011,Alagoas,May,0,1/01/2011
2012,Alagoas,May,21,1/01/2012
2013,Alagoas,May,2,1/01/2013
2014,Alagoas,May,1,1/01/2014
2015,Alagoas,May,18,1/01/2015
2016,Alagoas,May,4,1/01/2016
2017,Alagoas,May,1,1/01/2017
1998,Alagoas,June,0,1/01/1998
1999,Alagoas,June,0,1/01/1999
2000,Alagoas,June,0,1/01/2000
2001,Alagoas,June,2,1/01/2001
2002,Alagoas,June,0,1/01/2002
2003,Alagoas,June,0,1/01/2003
2004,Alagoas,June,0,1/01/2004
2005,Alagoas,June,0,1/01/2005
2006,Alagoas,June,0,1/01/2006
2007,Alagoas,June,0,1/01/2007
2008,Alagoas,June,0,1/01/2008
2009,Alagoas,June,0,1/01/2009
2010,Alagoas,June,0,1/01/2010
2011,Alagoas,June,2,1/01/2011
2012,Alagoas,June,4,1/01/2012
2013,Alagoas,June,1,1/01/2013
2014,Alagoas,June,2,1/01/2014
2015,Alagoas,June,2,1/01/2015
2016,Alagoas,June,5,1/01/2016
2017,Alagoas,June,2,1/01/2017
1998,Alagoas,July,0,1/01/1998
1999,Alagoas,July,0,1/01/1999
2000,Alagoas,July,0,1/01/2000
2001,Alagoas,July,0,1/01/2001
2002,Alagoas,July,5,1/01/2002
2003,Alagoas,July,0,1/01/2003
2004,Alagoas,July,0,1/01/2004
2005,Alagoas,July,0,1/01/2005
2006,Alagoas,July,0,1/01/2006
2007,Alagoas,July,0,1/01/2007
2008,Alagoas,July,0,1/01/2008
2009,Alagoas,July,0,1/01/2009
2010,Alagoas,July,2,1/01/2010
2011,Alagoas,July,0,1/01/2011
2012,Alagoas,July,0,1/01/2012
2013,Alagoas,July,0,1/01/2013
2014,Alagoas,July,1,1/01/2014
2015,Alagoas,July,0,1/01/2015
2016,Alagoas,July,3,1/01/2016
2017,Alagoas,July,0,1/01/2017
1998,Alagoas,August,1,1/01/1998
1999,Alagoas,August,3,1/01/1999
2000,Alagoas,August,4,1/01/2000
2001,Alagoas,August,1,1/01/2001
2002,Alagoas,August,3,1/01/2002
2003,Alagoas,August,2,1/01/2003
2004,Alagoas,August,2,1/01/2004
2005,Alagoas,August,2,1/01/2005
2006,Alagoas,August,1,1/01/2006
2007,Alagoas,August,3,1/01/2007
2008,Alagoas,August,1,1/01/2008
2009,Alagoas,August,0,1/01/2009
2010,Alagoas,August,1,1/01/2010
2011,Alagoas,August,4,1/01/2011
2012,Alagoas,August,0,1/01/2012
2013,Alagoas,August,0,1/01/2013
2014,Alagoas,August,3,1/01/2014
2015,Alagoas,August,3,1/01/2015
2016,Alagoas,August,5,1/01/2016
2017,Alagoas,August,1,1/01/2017
1998,Alagoas,September,14,1/01/1998
1999,Alagoas,September,3,1/01/1999
2000,Alagoas,September,22,1/01/2000
2001,Alagoas,September,5,1/01/2001
2002,Alagoas,September,14,1/01/2002
2003,Alagoas,September,8,1/01/2003
2004,Alagoas,September,5,1/01/2004
2005,Alagoas,September,7,1/01/2005
2006,Alagoas,September,4,1/01/2006
2007,Alagoas,September,2,1/01/2007
2008,Alagoas,September,9,1/01/2008
2009,Alagoas,September,13,1/01/2009
2010,Alagoas,September,5,1/01/2010
2011,Alagoas,September,5,1/01/2011
2012,Alagoas,September,6,1/01/2012
2013,Alagoas,September,4,1/01/2013
2014,Alagoas,September,11,1/01/2014
2015,Alagoas,September,7,1/01/2015
2016,Alagoas,September,18,1/01/2016
2017,Alagoas,September,4,1/01/2017
1998,Alagoas,October,20,1/01/1998
1999,Alagoas,October,4,1/01/1999
2000,Alagoas,October,13,1/01/2000
2001,Alagoas,October,15,1/01/2001
2002,Alagoas,October,30,1/01/2002
2003,Alagoas,October,10,1/01/2003
2004,Alagoas,October,12,1/01/2004
2005,Alagoas,October,17,1/01/2005
2006,Alagoas,October,32,1/01/2006
2007,Alagoas,October,6,1/01/2007
2008,Alagoas,October,18,1/01/2008
2009,Alagoas,October,30,1/01/2009
2010,Alagoas,October,16,1/01/2010
2011,Alagoas,October,23,1/01/2011
2012,Alagoas,October,28,1/01/2012
2013,Alagoas,October,25,1/01/2013
2014,Alagoas,October,7,1/01/2014
2015,Alagoas,October,40,1/01/2015
2016,Alagoas,October,74,1/01/2016
2017,Alagoas,October,14,1/01/2017
1998,Alagoas,November,19,1/01/1998
1999,Alagoas,November,15,1/01/1999
2000,Alagoas,November,2,1/01/2000
2001,Alagoas,November,22,1/01/2001
2002,Alagoas,November,50,1/01/2002
2003,Alagoas,November,17,1/01/2003
2004,Alagoas,November,28,1/01/2004
2005,Alagoas,November,25,1/01/2005
2006,Alagoas,November,12,1/01/2006
2007,Alagoas,November,15,1/01/2007
2008,Alagoas,November,37,1/01/2008
2009,Alagoas,November,55,1/01/2009
2010,Alagoas,November,31,1/01/2010
2011,Alagoas,November,23,1/01/2011
2012,Alagoas,November,95,1/01/2012
2013,Alagoas,November,10,1/01/2013
2014,Alagoas,November,14,1/01/2014
2015,Alagoas,November,162,1/01/2015
2016,Alagoas,November,76,1/01/2016
2017,Alagoas,November,10,1/01/2017
1998,Alagoas,December,32,1/01/1998
1999,Alagoas,December,12,1/01/1999
2000,Alagoas,December,2,1/01/2000
2001,Alagoas,December,30,1/01/2001
2002,Alagoas,December,95,1/01/2002
2003,Alagoas,December,43,1/01/2003
2004,Alagoas,December,71,1/01/2004
2005,Alagoas,December,16,1/01/2005
2006,Alagoas,December,30,1/01/2006
2007,Alagoas,December,33,1/01/2007
2008,Alagoas,December,34,1/01/2008
2009,Alagoas,December,55,1/01/2009
2010,Alagoas,December,45,1/01/2010
2011,Alagoas,December,50,1/01/2011
2012,Alagoas,December,59,1/01/2012
2013,Alagoas,December,42,1/01/2013
2014,Alagoas,December,24,1/01/2014
2015,Alagoas,December,136,1/01/2015
2016,Alagoas,December,155,1/01/2016
1998,Amapá,January,0,1/01/1998
1999,Amapá,January,0,1/01/1999
2000,Amapá,January,2,1/01/2000
2001,Amapá,January,0,1/01/2001
2002,Amapá,January,7,1/01/2002
2003,Amapá,January,31,1/01/2003
2004,Amapá,January,38,1/01/2004
2005,Amapá,January,109,1/01/2005
2006,Amapá,January,6,1/01/2006
2007,Amapá,January,0,1/01/2007
2008,Amapá,January,2,1/01/2008
2009,Amapá,January,4,1/01/2009
2010,Amapá,January,2,1/01/2010
2011,Amapá,January,0,1/01/2011
2012,Amapá,January,30,1/01/2012
2013,Amapá,January,3,1/01/2013
2014,Amapá,January,10,1/01/2014
2015,Amapá,January,14,1/01/2015
2016,Amapá,January,19,1/01/2016
2017,Amapá,January,2,1/01/2017
1998,Amapá,February,0,1/01/1998
1999,Amapá,February,1,1/01/1999
2000,Amapá,February,0,1/01/2000
2001,Amapá,February,0,1/01/2001
2002,Amapá,February,2,1/01/2002
2003,Amapá,February,0,1/01/2003
2004,Amapá,February,2,1/01/2004
2005,Amapá,February,1,1/01/2005
2006,Amapá,February,2,1/01/2006
2007,Amapá,February,0,1/01/2007
2008,Amapá,February,0,1/01/2008
2009,Amapá,February,0,1/01/2009
2010,Amapá,February,0,1/01/2010
2011,Amapá,February,3,1/01/2011
2012,Amapá,February,5,1/01/2012
2013,Amapá,February,0,1/01/2013
2014,Amapá,February,2,1/01/2014
2015,Amapá,February,1,1/01/2015
2016,Amapá,February,1,1/01/2016
2017,Amapá,February,0,1/01/2017
1998,Amapá,March,0,1/01/1998
1999,Amapá,March,2,1/01/1999
2000,Amapá,March,0,1/01/2000
2001,Amapá,March,0,1/01/2001
2002,Amapá,March,0,1/01/2002
2003,Amapá,March,1,1/01/2003
2004,Amapá,March,0,1/01/2004
2005,Amapá,March,0,1/01/2005
2006,Amapá,March,0,1/01/2006
2007,Amapá,March,0,1/01/2007
2008,Amapá,March,1,1/01/2008
2009,Amapá,March,1,1/01/2009
2010,Amapá,March,2,1/01/2010
2011,Amapá,March,0,1/01/2011
2012,Amapá,March,1,1/01/2012
2013,Amapá,March,0,1/01/2013
2014,Amapá,March,1,1/01/2014
2015,Amapá,March,2,1/01/2015
2016,Amapá,March,5,1/01/2016
2017,Amapá,March,0,1/01/2017
1998,Amapá,April,0,1/01/1998
1999,Amapá,April,0,1/01/1999
2000,Amapá,April,0,1/01/2000
2001,Amapá,April,0,1/01/2001
2002,Amapá,April,0,1/01/2002
2003,Amapá,April,2,1/01/2003
2004,Amapá,April,0,1/01/2004
2005,Amapá,April,0,1/01/2005
2006,Amapá,April,0,1/01/2006
2007,Amapá,April,0,1/01/2007
2008,Amapá,April,2,1/01/2008
2009,Amapá,April,0,1/01/2009
2010,Amapá,April,2,1/01/2010
2011,Amapá,April,0,1/01/2011
2012,Amapá,April,2,1/01/2012
2013,Amapá,April,2,1/01/2013
2014,Amapá,April,0,1/01/2014
2015,Amapá,April,0,1/01/2015
2016,Amapá,April,0,1/01/2016
2017,Amapá,April,3,1/01/2017
1998,Amapá,May,0,1/01/1998
1999,Amapá,May,0,1/01/1999
2000,Amapá,May,0,1/01/2000
2001,Amapá,May,0,1/01/2001
2002,Amapá,May,3,1/01/2002
2003,Amapá,May,0,1/01/2003
2004,Amapá,May,0,1/01/2004
2005,Amapá,May,0,1/01/2005
2006,Amapá,May,0,1/01/2006
2007,Amapá,May,0,1/01/2007
2008,Amapá,May,0,1/01/2008
2009,Amapá,May,2,1/01/2009
2010,Amapá,May,2,1/01/2010
2011,Amapá,May,2,1/01/2011
2012,Amapá,May,2,1/01/2012
2013,Amapá,May,0,1/01/2013
2014,Amapá,May,0,1/01/2014
2015,Amapá,May,0,1/01/2015
2016,Amapá,May,1,1/01/2016
2017,Amapá,May,1,1/01/2017
1998,Amapá,June,0,1/01/1998
1999,Amapá,June,2,1/01/1999
2000,Amapá,June,0,1/01/2000
2001,Amapá,June,0,1/01/2001
2002,Amapá,June,0,1/01/2002
2003,Amapá,June,0,1/01/2003
2004,Amapá,June,5,1/01/2004
2005,Amapá,June,2,1/01/2005
2006,Amapá,June,0,1/01/2006
2007,Amapá,June,0,1/01/2007
2008,Amapá,June,0,1/01/2008
2009,Amapá,June,1,1/01/2009
2010,Amapá,June,0,1/01/2010
2011,Amapá,June,0,1/01/2011
2012,Amapá,June,7,1/01/2012
2013,Amapá,June,1,1/01/2013
2014,Amapá,June,0,1/01/2014
2015,Amapá,June,3,1/01/2015
2016,Amapá,June,2,1/01/2016
2017,Amapá,June,2,1/01/2017
1998,Amapá,July,0,1/01/1998
1999,Amapá,July,0,1/01/1999
2000,Amapá,July,0,1/01/2000
2001,Amapá,July,1,1/01/2001
2002,Amapá,July,1,1/01/2002
2003,Amapá,July,0,1/01/2003
2004,Amapá,July,2,1/01/2004
2005,Amapá,July,0,1/01/2005
2006,Amapá,July,0,1/01/2006
2007,Amapá,July,0,1/01/2007
2008,Amapá,July,0,1/01/2008
2009,Amapá,July,4,1/01/2009
2010,Amapá,July,2,1/01/2010
2011,Amapá,July,5,1/01/2011
2012,Amapá,July,3,1/01/2012
2013,Amapá,July,1,1/01/2013
2014,Amapá,July,4,1/01/2014
2015,Amapá,July,5,1/01/2015
2016,Amapá,July,1,1/01/2016
2017,Amapá,July,3,1/01/2017
1998,Amapá,August,1,1/01/1998
1999,Amapá,August,0,1/01/1999
2000,Amapá,August,3,1/01/2000
2001,Amapá,August,12,1/01/2001
2002,Amapá,August,18,1/01/2002
2003,Amapá,August,14,1/01/2003
2004,Amapá,August,9,1/01/2004
2005,Amapá,August,4,1/01/2005
2006,Amapá,August,11,1/01/2006
2007,Amapá,August,5,1/01/2007
2008,Amapá,August,4,1/01/2008
2009,Amapá,August,20,1/01/2009
2010,Amapá,August,1,1/01/2010
2011,Amapá,August,16,1/01/2011
2012,Amapá,August,19,1/01/2012
2013,Amapá,August,9,1/01/2013
2014,Amapá,August,18,1/01/2014
2015,Amapá,August,40,1/01/2015
2016,Amapá,August,37,1/01/2016
2017,Amapá,August,33,1/01/2017
1998,Amapá,September,20,1/01/1998
1999,Amapá,September,4,1/01/1999
2000,Amapá,September,19,1/01/2000
2001,Amapá,September,95,1/01/2001
2002,Amapá,September,73,1/01/2002
2003,Amapá,September,88,1/01/2003
2004,Amapá,September,67,1/01/2004
2005,Amapá,September,97,1/01/2005
2006,Amapá,September,112,1/01/2006
2007,Amapá,September,61,1/01/2007
2008,Amapá,September,83,1/01/2008
2009,Amapá,September,188,1/01/2009
2010,Amapá,September,63,1/01/2010
2011,Amapá,September,128,1/01/2011
2012,Amapá,September,168,1/01/2012
2013,Amapá,September,85,1/01/2013
2014,Amapá,September,137,1/01/2014
2015,Amapá,September,192,1/01/2015
2016,Amapá,September,142,1/01/2016
2017,Amapá,September,95,1/01/2017
1998,Amapá,October,42,1/01/1998
1999,Amapá,October,25,1/01/1999
2000,Amapá,October,42,1/01/2000
2001,Amapá,October,194,1/01/2001
2002,Amapá,October,557,1/01/2002
2003,Amapá,October,355,1/01/2003
2004,Amapá,October,412,1/01/2004
2005,Amapá,October,335,1/01/2005
2006,Amapá,October,405,1/01/2006
2007,Amapá,October,162,1/01/2007
2008,Amapá,October,395,1/01/2008
2009,Amapá,October,765,1/01/2009
2010,Amapá,October,265,1/01/2010
2011,Amapá,October,304,1/01/2011
2012,Amapá,October,475,1/01/2012
2013,Amapá,October,385,1/01/2013
2014,Amapá,October,480,1/01/2014
2015,Amapá,October,827,1/01/2015
2016,Amapá,October,793,1/01/2016
2017,Amapá,October,468,1/01/2017
1998,Amapá,November,131,1/01/1998
1999,Amapá,November,26,1/01/1999
2000,Amapá,November,157,1/01/2000
2001,Amapá,November,406,1/01/2001
2002,Amapá,November,1.096,1/01/2002
2003,Amapá,November,750,1/01/2003
2004,Amapá,November,949,1/01/2004
2005,Amapá,November,685,1/01/2005
2006,Amapá,November,207,1/01/2006
2007,Amapá,November,198,1/01/2007
2008,Amapá,November,266,1/01/2008
2009,Amapá,November,1.019,1/01/2009
2010,Amapá,November,339,1/01/2010
2011,Amapá,November,282,1/01/2011
2012,Amapá,November,969,1/01/2012
2013,Amapá,November,341,1/01/2013
2014,Amapá,November,484,1/01/2014
2015,Amapá,November,1.3,1/01/2015
2016,Amapá,November,1.161,1/01/2016
2017,Amapá,November,858,1/01/2017
1998,Amapá,December,84,1/01/1998
1999,Amapá,December,41,1/01/1999
2000,Amapá,December,30,1/01/2000
2001,Amapá,December,593,1/01/2001
2002,Amapá,December,200,1/01/2002
2003,Amapá,December,411,1/01/2003
2004,Amapá,December,777,1/01/2004
2005,Amapá,December,38,1/01/2005
2006,Amapá,December,74,1/01/2006
2007,Amapá,December,14,1/01/2007
2008,Amapá,December,32,1/01/2008
2009,Amapá,December,123,1/01/2009
2010,Amapá,December,43,1/01/2010
2011,Amapá,December,360,1/01/2011
2012,Amapá,December,422,1/01/2012
2013,Amapá,December,148,1/01/2013
2014,Amapá,December,354,1/01/2014
2015,Amapá,December,269,1/01/2015
2016,Amapá,December,491,1/01/2016
1998,Amazonas,January,0,1/01/1998
1999,Amazonas,January,3,1/01/1999
2000,Amazonas,January,7,1/01/2000
2001,Amazonas,January,3,1/01/2001
2002,Amazonas,January,17,1/01/2002
2003,Amazonas,January,158,1/01/2003
2004,Amazonas,January,123,1/01/2004
2005,Amazonas,January,44,1/01/2005
2006,Amazonas,January,20,1/01/2006
2007,Amazonas,January,37,1/01/2007
2008,Amazonas,January,16,1/01/2008
2009,Amazonas,January,9,1/01/2009
